#{"t_start": 1708424537.4409866, "env_id": "None"}
r,l,t
0.0,201,162.330968
0.0,201,162.501682
0.0,201,162.673021
0.0,201,162.837763
0.0,201,163.006857
0.0,201,163.184382
0.0,201,163.357051
0.0,201,163.540295
0.0,201,163.711648
0.0,201,163.884727
0.0,201,164.060677
0.0,201,164.231381
0.0,201,164.402436
0.0,201,164.573491
0.0,201,164.755826
0.0,201,164.929872
0.0,201,165.092758
0.0,201,165.254021
0.0,201,165.418963
0.0,201,165.585252
0.0,201,165.776599
0.0,201,165.941587
0.0,201,166.1116
0.0,201,166.284354
0.0,201,166.460349
100.0,1,166.461744
0.0,201,166.638673
0.0,201,166.802357
0.0,201,166.954946
0.0,201,167.121914
0.0,201,167.299771
0.0,201,167.479327
0.0,201,167.64514
100.0,1,167.645699
0.0,201,167.811622
0.0,201,168.007484
0.0,201,168.186712
0.0,201,168.351537
0.0,201,168.519802
0.0,201,168.684701
0.0,201,168.84203
100.0,1,168.843508
0.0,201,169.006417
0.0,201,169.167697
0.0,201,169.336862
0.0,201,169.504901
0.0,201,169.670823
0.0,201,169.842631
0.0,201,170.027609
0.0,201,170.207505
0.0,201,170.36631
0.0,201,170.534942
0.0,201,170.701576
0.0,201,170.871694
0.0,201,171.037442
0.0,201,171.215592
0.0,201,171.376832
0.0,201,171.551428
0.0,201,171.744678
0.0,201,171.902949
0.0,201,172.069964
0.0,201,172.246022
0.0,201,172.429306
